#     A     Big       C       D       E       F       H       I       K       L       M       N       P       Q       R       S       T       V       W       X       Y      Ka      Sp      Tp      Yp  
 -0.461  -5.000  -0.072  -0.968  -0.853   0.294  -0.539   0.089  -0.952   0.149  -0.002  -0.839  -0.379  -0.680  -0.801  -0.768  -0.427  -0.181   0.292   0.000   0.044   0.920  -0.968  -0.486   0.968 
 -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000  -5.000 
 -0.072  -5.000   0.921  -0.968  -0.968   0.188   0.157   0.189  -0.729  -0.201  -0.561  -0.968  -0.558  -0.037  -0.968  -0.968  -0.968  -0.446  -0.648   0.000  -0.333   0.968  -0.968  -0.968   0.968 
 -0.968  -5.000  -0.968  -0.968  -0.968  -0.522   0.687  -0.968   0.649  -0.772  -0.464   0.116  -0.542  -0.010   0.968  -0.005  -0.048  -0.968   0.123   0.000   0.300   0.968  -0.503  -0.886  -0.029 
 -0.853  -5.000  -0.968  -0.968  -0.968  -0.243   0.280  -0.761   0.661  -0.651  -0.592  -0.162  -0.611  -0.015   0.968  -0.145  -0.051  -0.626   0.175   0.000   0.210  -0.554  -0.968  -0.968  -0.968 
  0.294  -5.000   0.188  -0.522  -0.243   0.363   0.142   0.811  -0.407   0.675   0.888  -0.025   0.388  -0.060   0.169  -0.442  -0.085   0.505   0.670   0.000   0.382   0.968  -0.125  -0.632   0.078 
 -0.539  -5.000   0.157   0.687   0.280   0.142   0.028  -0.523  -0.376  -0.013  -0.049   0.127  -0.005   0.342  -0.207   0.005  -0.218  -0.025  -0.145   0.000   0.422   0.968   0.116   0.968   0.968 
  0.089  -5.000   0.189  -0.968  -0.761   0.811  -0.523   0.425  -0.598   0.846   0.768  -0.487   0.273  -0.277  -0.534  -0.856  -0.219   0.432   0.609   0.000   0.118   0.968  -0.968  -0.666   0.968 
 -0.952  -5.000  -0.729   0.649   0.661  -0.407  -0.376  -0.598  -0.968  -0.442  -0.433   0.025  -0.789  -0.235  -0.968  -0.952  -0.932  -0.511  -0.234   0.000  -0.225  -0.968   0.968   0.968   0.968 
  0.149  -5.000  -0.201  -0.772  -0.651   0.675  -0.013   0.846  -0.442   0.183   0.682  -0.656   0.018  -0.467  -0.353  -0.873  -0.303   0.615   0.641   0.000   0.224   0.968  -0.968   0.430  -0.562 
 -0.002  -5.000  -0.561  -0.464  -0.592   0.888  -0.049   0.768  -0.433   0.682   0.150  -0.272   0.070   0.006  -0.361  -0.968  -0.382   0.507   0.882   0.000   0.694  -0.968  -0.968  -0.968  -0.968 
 -0.839  -5.000  -0.968   0.116  -0.162  -0.025   0.127  -0.487   0.025  -0.656  -0.272  -0.267  -0.291   0.069   0.015  -0.096  -0.302  -0.721   0.380   0.000   0.017   0.968   0.968   0.968   0.947 
 -0.379  -5.000  -0.558  -0.542  -0.611   0.388  -0.005   0.273  -0.789   0.018   0.070  -0.291  -0.519  -0.454  -0.319  -0.750  -0.247  -0.144   0.811   0.000   0.634   0.968  -0.968  -0.968  -0.968 
 -0.680  -5.000  -0.037  -0.010  -0.015  -0.060   0.342  -0.277  -0.235  -0.467   0.006   0.069  -0.454   0.175   0.191  -0.258  -0.001  -0.145  -0.157   0.000   0.170  -0.968   0.305  -0.278   0.968 
 -0.801  -5.000  -0.968   0.968   0.968   0.169  -0.207  -0.534  -0.968  -0.353  -0.361   0.015  -0.319   0.191  -0.968  -0.968  -0.570  -0.671   0.389   0.000   0.040  -0.968   0.968   0.968   0.968 
 -0.768  -5.000  -0.968  -0.005  -0.145  -0.442   0.005  -0.856  -0.952  -0.873  -0.968  -0.096  -0.750  -0.258  -0.968  -0.968  -0.968  -0.943   0.107   0.000  -0.702  -0.968   0.968   0.968   0.968 
 -0.427  -5.000  -0.968  -0.048  -0.051  -0.085  -0.218  -0.219  -0.932  -0.303  -0.382  -0.302  -0.247  -0.001  -0.570  -0.968  -0.514  -0.194  -0.282   0.000  -0.088  -0.968   0.968   0.968   0.968 
 -0.181  -5.000  -0.446  -0.968  -0.626   0.505  -0.025   0.432  -0.511   0.615   0.507  -0.721  -0.144  -0.145  -0.671  -0.943  -0.194  -0.144   0.776   0.000   0.190   0.968  -0.968   0.151   0.625 
  0.292  -5.000  -0.648   0.123   0.175   0.670  -0.145   0.609  -0.234   0.641   0.882   0.380   0.811  -0.157   0.389   0.107  -0.282   0.776   0.427   0.000   0.221   0.968   0.080   0.968  -0.968 
