#A C D E F H I K L M N P Q R S T V W Y 
  0.06 -0.79 -0.08 -0.32  0.28  0.03  0.15 -0.79 -0.59 -0.79 -0.79  0.07 -0.79 -0.29 -0.31  0.29  0.61 -0.79 -0.05
 -0.79  1.75 -0.79 -0.79 -0.79  1.40 -0.79 -0.79  0.60 -0.79 -0.79 -0.79 -0.79 -0.79 -0.79 -0.79 -0.79 -0.79  1.01
 -0.79 -0.79 -0.79 -0.79 -0.04  0.59 -0.79  1.31 -0.53 -0.79  0.04 -0.79 -0.79  0.92 -0.09  0.31 -0.04 -0.79 -0.79
 -0.50 -0.79 -0.79 -0.36  0.42  0.50  0.08  0.39  0.37 -0.79 -0.05 -0.49 -0.79  0.89  0.52 -0.18 -0.12  0.72  0.21
  0.51  0.78 -0.37 -0.46  1.10  0.26  0.74 -0.06  1.03  1.07 -0.79  0.11  0.85 -0.59 -0.26  0.14  0.48 -0.79  0.48
 -0.79 -0.79  0.25  0.50  0.07 -0.79  0.50  0.23 -0.26 -0.79 -0.79  0.04 -0.79 -0.79 -0.79  0.35  0.12 -0.79 -0.79
  0.15 -0.79 -0.79 -0.79  0.84  0.81  0.88 -0.44  1.07  1.11 -0.19  0.06 -0.79  0.15 -0.31  0.09  0.80 -0.79  0.51
 -0.26 -0.79  0.47  0.28 -0.79 -0.79 -0.26 -0.79 -0.79 -0.79 -0.79 -0.43  0.31 -0.79 -0.79 -0.12 -0.35 -0.79 -0.32
 -0.24 -0.79 -0.79 -0.79  1.12  0.61  1.22 -0.04  1.16  0.13  0.11  0.47 -0.03 -0.74  0.09  0.38  0.01  0.29  0.15
 -0.79 -0.79  0.46 -0.79  0.62 -0.79 -0.79  0.44  0.74 -0.79 -0.79 -0.79  0.99  0.25 -0.79 -0.79  0.34 -0.79  0.54
 -0.79 -0.79 -0.79 -0.79 -0.14  0.48 -0.79  0.01 -0.14 -0.79 -0.79 -0.79 -0.79 -0.79  0.15 -0.79 -0.09 -0.79 -0.79
 -0.63 -0.79  0.06  0.39  0.11 -0.79  0.33 -0.79 -0.13  0.59  0.30 -0.28 -0.79  0.25  0.49 -0.15 -0.13 -0.79 -0.04
 -0.79 -0.79 -0.79 -0.79  0.56 -0.79  0.26  0.12  0.33 -0.79  0.56 -0.06 -0.79 -0.79 -0.79  0.07 -0.16 -0.79 -0.79
 -0.16 -0.79  0.62  1.03 -0.40  0.62  0.06 -0.79  0.36 -0.79 -0.18 -0.03 -0.79 -0.04  0.39 -0.15  0.16  0.59  0.18
 -0.79 -0.79 -0.79 -0.79 -0.08 -0.79 -0.79 -0.11 -0.79 -0.79 -0.79 -0.79 -0.79 -0.30 -0.79 -0.79 -0.79 -0.79 -0.79
 -0.49 -0.79 -0.79 -0.36 -0.12 -0.79 -0.79 -0.30 -0.09 -0.79 -0.04  0.10  0.25 -0.79 -0.79 -0.35  0.37 -0.79  0.09
  0.37 -0.79 -0.17 -0.79  0.42 -0.79  0.71 -0.06  0.71  0.62 -0.09  0.38 -0.79 -0.79 -0.79  0.45 -0.12  0.84  0.42
 -0.79 -0.79 -0.79 -0.79  0.63 -0.79  1.28  0.78  0.63  1.47 -0.79  0.78 -0.79  0.93 -0.79 -0.79  0.50 -0.79  1.29
 -0.05  0.68 -0.79  0.09  0.91 -0.79  1.17  0.37  0.72  0.70  0.27  0.59  0.52  0.52  0.28 -0.04  0.62  1.04  0.77
