NP_000005	P01023
NP_000006	P11245
NP_000007	P11310
NP_000008	P16219
NP_000010	P24752
NP_000011	P37023
NP_000013	P00813
NP_000014	Q16586
NP_000015	P07550
NP_000018	P20933
NP_000020	P01019
NP_000021	P21549
NP_000023	P22557
NP_000025	P04075
NP_000026	P05062
NP_000030	P02647
NP_000031	P02656
NP_000033	P02749
NP_000034	P25445
NP_000036	P05089
NP_000038	P51690
NP_000040	P45381
NP_000041	P00966
NP_000042	Q13315
NP_000045	P30518
NP_000046	P06276
NP_000048	P54132
NP_000051	P43251
NP_000052	Q06187
NP_000053	P05155
NP_000054	P06681
NP_000061	P20807
NP_000062	P35520
NP_000066	P11802
NP_000069	P11597
NP_000070	P02708
NP_000073	Q13216
NP_000075	P51795
NP_000076	P51801
NP_000098	Q92466
NP_000099	P09622
NP_000101	Q12882
NP_000103	P50443
NP_000104	O14656
NP_000106	P24530
NP_000107	Q16635
NP_000108	P50402
NP_000110	P16452
NP_000111	P07099
NP_000113	P19447
NP_000114	P28715
NP_000116	P03372
NP_000117	P13804
NP_000118	Q16394
NP_000119	P03951
NP_000123	P00451
NP_000124	P00740
NP_000125	P12104
NP_000126	O15360
NP_000127	Q00597
NP_000130	Q01362
NP_000131	P22830
NP_000132	P21802
NP_000134	P07954
NP_000135	Q16595
NP_000136	P23945
NP_000137	P02792
NP_000138	P04066
NP_000139	P19526
NP_000140	P21217
NP_000142	P35575
NP_000143	P10253
NP_000146	P07902
NP_000147	Q14353
NP_000149	Q04446
NP_000150	Q92947
NP_000156	P17302
NP_000158	P32189
NP_000165	P14770
NP_000169	P48637
NP_000172	P08236
NP_000173	P40939
NP_000174	P55084
NP_000175	P69892
NP_000176	P05546
NP_000177	P08603
NP_000179	P19367
NP_000181	P08397
NP_000182	P35914
NP_000185	P00492
NP_000186	Q92902
NP_000188	P37058
NP_000190	P51688
NP_000191	P15516
NP_000192	P05362
NP_000193	P22304
NP_000195	P05156
NP_000197	P31785
NP_000198	P01308
NP_000202	P05107
NP_000208	Q09470
NP_000210	P15382
NP_000211	P48048
NP_000212	P50053
NP_000215	P05783
NP_000221	P41159
NP_000225	P18858
NP_000226	P38571
NP_000227	P11150
NP_000228	P06858
NP_000230	P61626
NP_000233	P11226
NP_000239	O75030
NP_000240	P40692
NP_000242	P43246
NP_000243	Q13496
NP_000249	P08590
NP_000255	Q13635
NP_000256	P14598
NP_000257	Q00604
NP_000259	P35240
NP_000260	P15531
NP_000261	P00491
NP_000267	Q01968
NP_000268	P00439
NP_000272	P61457
NP_000273	P05165
NP_000274	P35913
NP_000275	P08559
NP_000276	P12955
NP_000279	O00628
NP_000280	P08237
NP_000281	P15259
NP_000282	P00558
NP_000285	P15735
NP_000289	P30613
NP_000292	P00747
NP_000293	Q02809
NP_000295	Q01453
NP_000301	P50897
NP_000302	P04156
NP_000303	P04070
NP_000306	P01270
NP_000307	Q03431
NP_000308	Q03393
NP_000309	P28328
NP_000311	P09417
NP_000313	P23942
NP_000317	P12271
NP_000318	Q03395
NP_000319	Q92834
NP_000320	Q16518
NP_000327	P51168
NP_000328	Q92629
NP_000329	Q13621
